,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
692,0,0,,"[-4432.293871673723, 6445.111554162704, 9846.315189271507, 4.841077396844838, 1.5431054821059367, 1.9540220669709565, 11.134025500301608, 3.092384840564277, -2.5405025407950257, -2.5584341164581232, -2.2772768974551187, -9.855643697591205, 140002.49396511534, -53855.73838025634, -279100.6368266725]"
693,"[array([ 84090.96026501, 187031.32963832, 276446.59902766])]","[array([-10.21803, -62.83677, -61.77483])]",,"[3567.763362943888, -3748.4543032572337, 2043.2269429684857, 2.9447752091994963, 1.0723073043307594, 2.5673706030910477, 2.8433406103055674, 12.409024972850261, 12.271103646836874, 8.530505390328802, 1.2133981538377672, -2.6436672931560885, 15066.730956769054, -135517.96017797117, -41359.53567841434]"
694,0,0,,"[5448.7676487588815, -7995.172481377062, 9053.235879120039, 1.5256275318978365, 0.29249182016540065, 0.6667185974222816, 11.476438692514265, -7.7531066242237054, 2.491452200958136, -3.833140078018751, 2.828802711553271, -4.385843947829365, -21526.900705983397, 61264.94615021604, -115423.13515966927]"
695,"[array([611488.01446547, 253205.99211064, 382811.45100335]), array([611488.01446547, 253205.99211064, 382811.45100335])]","[array([-96.87625,  -5.32324, -99.50533]), array([96.87625,  5.32324, 99.50533])]",,"[5901.963333488902, 373.3641706439048, 8621.993005551369, 4.186603895957351, 5.705770395608445, 3.7533480812687983, 8.98345342849986, 1.2096793266450465, 5.113615834157272, 8.453921314252181, 2.8141163647827785, -6.417400182333365, -79164.17667759112, 55305.575591721514, -113111.53532463295]"
696,0,0,,"[3098.528047420439, -3149.296264761725, 8310.991922587382, 1.576618912144207, 0.5419785629286166, 2.3027259423278483, -3.2917384690722997, 2.825556026495935, 2.0513849904880104, 5.279671517654158, -8.707423180446769, 4.5765760479543935, 9433.887725758541, 55674.108145632985, -272545.6125623147]"
697,0,0,,"[3072.9280545929923, 8024.797937191503, 8435.384759807323, 5.86061190970746, 3.6366902404638437, 0.8211110127985761, -5.609240257484741, 6.359045807000847, 6.9801096922870975, -7.85864419690059, -9.917896800917724, -6.770151639677474, -116593.24333708614, 60234.40119758982, -143295.57885913877]"
698,0,0,,"[438.704659651954, -8699.866733797879, -9980.982676666932, 4.412764319810657, 1.4016405129193579, 1.167384178022931, -9.007767794984622, 1.5608765367164192, 1.8339369121972382, -1.2178006446309197, -9.481481220578395, 4.965168478856835, 130718.62870562263, 2469.742203929898, -368045.84000875824]"
699,"[array([534275.18723224, 223630.02991561,  46527.82757868]), array([ 70699.32345002, 233601.78963788, 380971.55438041]), array([ 70699.32345002, 233601.78963788, 380971.55438041]), array([534275.18723224, 223630.02991561,  46527.82757868])]","[array([-108.01641,   30.34846,  -74.58189]), array([-80.73178,  95.02173,  33.16083]), array([ 80.73178, -95.02173, -33.16083]), array([108.01641, -30.34846,  74.58189])]",,"[7137.130326640989, -4044.215894640939, 110.94638578508238, 2.6037343865832883, 2.5404832934313495, 4.941823475661949, 3.3918230030598515, -2.604938024523606, 5.2177923127120795, -1.091286829383499, 6.913687268548756, -5.956167640456503, 115283.57455049298, -118514.84225997142, -102648.58559450298]"
700,0,0,,"[6444.011895258933, 1638.3805814779535, -3555.340493700248, 2.8974467593586097, 2.7176818772263687, 0.40771284163361043, -2.317611050401812, 6.390482615784885, -6.4256651751966185, 8.314561918831007, 4.345664662663253, -0.8449314846806129, -123962.41133442475, -136185.47884003606, -84157.71826583601]"
701,0,0,,"[-205.6855565070382, 4008.400411083361, 7630.855675410454, 2.0050690520863723, 2.0720169776980404, 0.23700183299276484, 10.732118790844233, 3.160191183991932, 8.985099776553447, 9.473831802197392, -5.669701802786706, -11.003957477551413, -148076.34343117112, -108417.21207630518, -22035.821778157784]"
702,"[array([543678.31079618, 327360.9505591 , 102686.8673647 ])]","[array([ -57.09518,  -21.40982, -138.5847 ])]",,"[8686.984076807108, -5754.454675605689, 5199.371060213325, 5.540788349528522, 1.8759446368162918, 0.3460611799795239, 11.042913243254077, 2.1680840658912466, 0.6151275290368456, 9.402326519327904, 4.196404993584462, 5.634970063535757, 1202.0318286581023, -61165.39069011685, -129423.52117015526]"
703,0,0,,"[-3834.447717182994, -1181.0160537133615, -155.86840220158047, 0.6338548884313602, 4.100089420708857, 4.8581330922609185, 8.085683722903159, -5.753672346035932, 9.751304950711663, -12.377982103371837, -10.446196142197508, -1.5379933846602665, -38493.224113461765, -29361.124341741073, -212619.82058275858]"
704,"[array([506793.49391765, 179122.44910746, 287956.25490815]), array([506793.49391765, 179122.44910746, 287956.25490815])]","[array([-72.51605,  75.36909, -29.39829]), array([ 72.51605, -75.36909,  29.39829])]",,"[716.9703424683921, -1757.6990086009482, 1908.3985502401247, 5.968256280059891, 5.030015735667499, 2.7056770590398393, 0.10497193171019426, 8.030295818814697, 9.592608757022738, -0.8401856990741301, -3.4265579788025597, 5.423352752283826, 112450.00054924825, 25225.52690317988, -61254.01330157288]"
705,"[array([  405714.81177682, 22356941.10953359, 14074726.20706533]), array([  405714.81177682, 22356941.10953359, 14074726.20706533])]","[array([-1301.90532,    -5.03139,  -874.96856]), array([1301.90532,    5.03139,  874.96856])]",,"[3959.6456069048418, -899.2145286050381, 7678.684779117295, 0.5120309646843233, 2.892070629966095, 2.5091884743603563, 1.7682975195600026, -0.6976603769534027, -3.1783016392125605, 4.419155035415191, -3.8099777690528125, 1.0077960726952355, -68458.25988365934, 20924.612770211126, -208705.8568874389]"
706,"[array([545725.10742487, 286048.63287102, 220778.46450636]), array([545725.10742487, 286048.63287102, 220778.46450636])]","[array([-88.1007 ,  -0.11128, -97.02516]), array([88.1007 ,  0.11128, 97.02516])]",,"[5626.13630687669, -8123.430985982729, 6537.4461594503555, 3.7698827428670323, 5.048035356431778, 2.6571516470011, 10.665916542845629, 8.55398861725699, 4.100749236284628, 1.3598672433897558, -0.3717508853657616, -2.1038210822343544, -116920.5033870879, 105756.63454625409, -130065.85524856416]"
707,0,0,,"[-9589.411382946439, -5892.15776020188, 7677.357629080729, 1.6392268574624347, 3.235582057652884, 3.913934350653105, -3.583398205557799, -2.1965752750834904, -2.0944190725831433, 10.250564987926339, -10.190024509058581, -1.1242503422554186, -35524.354322160056, 63789.08074879795, -74823.28573649714]"
708,"[array([1792078.97272061,  211853.15036111,  598033.46348845]), array([1530472.99372446,  816257.07089629,  242007.18579373]), array([1530472.99372446,  816257.07089629,  242007.18579373]), array([1792078.97272061,  211853.15036111,  598033.46348845])]","[array([-162.32985, -141.20508, -129.24478]), array([-147.83217,  129.02726, -150.55646]), array([ 147.83217, -129.02726,  150.55646]), array([162.32985, 141.20508, 129.24478])]",,"[9697.813546574394, -6422.710735599925, 8877.629832360559, 5.183346747958199, 3.0451728374376974, 4.302158889398651, 4.543006739522543, -7.137081706301171, 2.933432618892633, -9.748006703925633, 7.822681854709856, -4.932143515192791, -77221.98136966267, 92285.55757110871, -232909.38792968213]"
709,0,0,,"[6090.715289624464, 5672.59857940654, -7516.116534059285, 0.9472651924065806, 0.10765961585020939, 0.23569511571277676, -9.733745461599181, -1.6138232752176886, -1.9507060281707727, 6.984235074972215, -1.9345985977031201, 0.7333971604858949, -17520.079096072004, 48446.882249508984, -315583.64107929403]"
710,"[array([146991.5121534 , 468013.52225462, 702101.07714955])]","[array([-101.66826,  -61.20112, -107.09707])]",,"[3214.1804925025317, 2647.4022231033814, 7758.543251667525, 2.6540133524593337, 2.763508683358965, 4.282500114631069, 10.169612126290314, -3.2940052519060234, 4.229334930687234, -3.8585984493293157, 2.4340390036292305, -0.7914984589794702, -8422.50305858074, -75921.67359133948, -212999.37315818446]"
711,0,0,,"[-1640.880693340947, 6269.0528743511695, -7614.816815172975, 1.8663300872112025, 0.40362879957661624, 5.182451995963016, -3.3254006463493937, -7.828263441601434, -6.732575097077101, 1.9661072658530667, -3.430408067902004, 5.317643849849823, 100359.00785789537, -68883.11008274186, -353969.5855229046]"
712,"[array([ 145292.57220717,  942768.00734551, 1252282.77981269]), array([ 145292.57220717,  942768.00734551, 1252282.77981269])]","[array([-179.49912,   17.84431, -148.01201]), array([179.49912, -17.84431, 148.01201])]",,"[3406.6340016159866, 4630.629915909329, -6209.474505651218, 1.5664832597364065, 3.240531210451814, 3.118892000106299, 10.16266424969832, -6.851277645211294, 5.013160998958893, 9.323032401001896, 6.063644932411449, -8.034064361653588, 128581.54207887355, -9332.96289343448, -75602.04156213038]"
713,0,0,,"[9863.957081026747, 8656.35018002386, 1734.5819250950262, 3.0024756737181435, 5.596279229923396, 0.7425849594313111, 5.263971025304382, -4.7735657114408525, 2.345933728498503, 4.36370631100684, -0.9882217531527964, -12.025957274335536, 61813.08808359393, -114877.35517834051, -344975.62378918007]"
714,0,0,,"[7966.934589348719, 1806.9514511317939, -4870.9313486111005, 5.137184697839927, 1.3927802001007223, 0.8552412988372114, 2.6936867638417787, 5.677813654949881, 9.895840178948998, 2.718764447894399, -9.69721316322512, -2.544241759059698, 33571.874784033454, 9147.603664830385, -165904.8955287701]"
715,0,0,,"[-4310.619987393043, 6605.628198807772, -837.1288428262378, 5.933028865954145, 3.186727141234309, 1.494033104730964, -7.409738503528384, 3.981944781016413, 0.9220558759493738, 2.7824411109722273, -2.355590107752125, -10.930057482774709, 84542.2715213735, 38448.329525305104, -113464.77936003171]"
716,0,0,,"[8.454986323531557, 6260.830095413679, -7469.656461171184, 2.8361631462553363, 1.5835820227940365, 0.7898804392672463, 7.14325217158278, -4.932157338084865, 5.722133030439606, 7.62266281917865, -4.4449121797907, 4.65598569357644, 59839.189994824934, 138299.9381170412, -316219.9181701238]"
717,0,0,,"[706.1554508305144, 7254.082610730202, -2817.454041748324, 0.3770380632337855, 2.8992889078323834, 4.372902564038023, -11.702217118352124, 12.06542985011669, 12.147609533801756, -3.644217709653784, 4.071270879672884, -11.569416496283166, 140086.85638133233, -68818.45990163261, -390247.47378705273]"
718,"[array([116424.41887079, 199367.48110096, 288053.94836904]), array([116424.41887079, 199367.48110096, 288053.94836904])]","[array([-1.17411, 62.03935, 78.36459]), array([  1.17411, -62.03935, -78.36459])]",,"[-3612.706753013992, -4600.3626450653255, -8786.742735394811, 2.283998311433337, 2.8587589207662396, 0.6281378986030463, 5.428983033882194, 4.344926621465415, 1.804337696378619, 8.056250625011845, 5.774608973997431, 5.151749978207075, 16705.70293981614, -140302.503483806, -10281.722957767895]"
719,0,0,,"[-2555.1773508449614, 127.3593323969344, -8139.2847220245, 0.9557405895934299, 1.9977311549670271, 2.7727027645020215, 3.2545973404629187, 3.0384732432251678, 8.039119795345016, -7.341031042658065, -0.4586635422730989, -0.5802015911749532, 72505.38496931165, -144730.44711269467, -9545.966431994631]"
720,0,0,,"[-6587.934097175861, 740.2833417888942, 4876.686502181832, 4.782245404235872, 2.1930201584900058, 2.22305703482469, -11.720137608516769, -0.8909625713085969, 8.185188450351692, -11.08173755272686, 4.703063813846089, -0.35722696929621556, 21393.318508417724, -54085.79887259615, -368839.92179989227]"
721,0,0,,"[7534.391215565698, -2404.331743746575, -5973.6396240240965, 2.9142267353037585, 3.5880625413485987, 4.9876840688669635, -9.061087924691147, 0.2394753660838287, -1.1640920405523927, 2.4552861211549892, 0.529198907280783, -12.224575889892247, 26523.67752388146, -33897.55079899459, -322019.75700068695]"
722,0,0,,"[-5006.640779897131, 1487.840940139431, 7646.596848598634, 5.57304557140688, 0.7679327013043583, 0.34554200526660045, -9.98053068534653, 4.881108939041281, 3.9113933746300003, -6.476142948544857, 7.241060225820512, 2.6973600749742612, 121404.2945578674, -94925.69258033189, -29151.784732713946]"
723,"[array([831234.92391973, 356499.00538126, 117360.00724453]), array([831234.92391973, 356499.00538126, 117360.00724453])]","[array([-72.89142, 173.31333, -93.30066]), array([  72.89142, -173.31333,   93.30066])]",,"[-2769.9054215437527, 5030.751908319784, 4315.872220918893, 5.674584581752212, 0.5394210860483867, 4.19504671719226, 10.147794061684106, 11.00053936152646, 11.107588257119389, -11.002872548452036, -12.482627645887177, 6.694053417572555, 22657.7709063105, 19190.85590343739, -258457.7952345401]"
724,0,0,,"[-2756.244441465985, 9407.950380353894, 3133.183583598293, 1.812481434361189, 5.3444630369497155, 0.9829420774445442, 0.4927518479110855, -4.42265467824725, 7.114726387058376, 1.8462818352715136, -6.2707321408498355, -1.784285966668648, -3604.357519224519, 70318.0365683657, -142216.42041918397]"
725,"[array([2509770.4488142 ,  645692.47232655,  248113.49805743]), array([2509770.4488142 ,  645692.47232655,  248113.49805743])]","[array([-187.11253,   61.85168, -176.59756]), array([187.11253, -61.85168, 176.59756])]",,"[-5994.586980697262, 1595.378286194853, 5482.565733355608, 3.4495573467674085, 2.8414784895130394, 5.559834229053681, 0.1857333194161317, -2.8171860372754383, 7.524063650024521, 9.712832325566072, -3.9475746100857094, -11.677117186182757, 64910.29045513441, 40314.06548651337, -307606.35158665635]"
726,"[array([9882131.84369441,  507352.35215818, 3062505.98284336])]","[array([-610.58477, -260.31321, -433.12575])]",,"[5531.211383276062, -4105.805302164201, -8305.520098273293, 1.127192503889343, 4.683424078079141, 4.476794077397069, 3.9854017385228815, 8.027009231509826, -2.6919492489469086, -4.2820145876688755, -10.010470995299528, -1.0701113988165538, -144177.2954268941, 15545.612211942702, -220892.99351571762]"
727,0,0,,"[-787.7206911552585, 3276.5616924149817, -2141.448994532365, 2.0959654990076255, 4.6125896727693245, 0.7322931006419405, 0.10772831171169095, 0.061055583258376345, 3.2296642641854287, -1.2228307876267852, -11.079592884079696, -4.454073866917556, 69402.02268246163, 126735.92318531673, -312465.7565066185]"
728,"[array([756989.72619049, 419575.17003121, 204061.01807411])]","[array([ -96.06711, -106.79884, -116.56545])]",,"[-3386.9561388852508, 1289.7205241466363, 8108.34277746499, 3.1169497524665206, 0.8668962087815485, 0.9207028853414634, -8.896722799808858, 3.4783919262646616, 5.817443993958333, 12.014516945312838, 1.0228534345076135, 3.496200737707877, -116927.80891828859, -102306.67216165809, -260487.7872796106]"
729,0,0,,"[8652.85633872975, 1011.0141270657496, -7189.748597605792, 4.655459964915176, 2.7236135286355716, 4.984632080944477, 3.1962115742253534, 0.5586705711439723, 7.215788890904596, -11.011803655941431, 0.8214688091487901, 7.662103395326319, -132288.91167578133, -98729.84148388985, -378260.56093921565]"
730,"[array([5568249.46901108,  723332.63156373, 1757018.87670041]), array([5568249.46901108,  723332.63156373, 1757018.87670041])]","[array([-351.92014,   23.12078, -269.65274]), array([351.92014, -23.12078, 269.65274])]",,"[8933.138506777163, 5170.389224695526, 8221.747017340036, 2.087965078496029, 2.968920757289336, 5.966637414180981, 1.0919297031159942, 8.452872570782574, 4.93890573556037, 2.4497369193036125, -2.488592547448345, -10.000565123462438, 112852.68365184363, 1963.04004432683, -361212.1275490744]"
731,"[array([ 8028624.41274291,   165809.86115486, 17808663.04895796]), array([ 8028624.41274291,   165809.86115486, 17808663.04895796])]","[array([ -13.77409, -582.22209, -677.95116]), array([ 13.77409, 582.22209, 677.95116])]",,"[1330.0600551567204, 9065.392241675527, 821.2603751065963, 0.5668330104824133, 3.7869134289906503, 2.053481190679725, -4.5693792143825185, 0.34699447848491616, 9.63935839605288, 5.661675086416089, -5.817904923506869, -1.7107576017702737, -19618.25142635283, -75191.66403211655, -146229.40161906445]"
732,"[array([1053519.99471241,  623666.22416155,  453244.26964797]), array([1053519.99471241,  623666.22416155,  453244.26964797])]","[array([ -90.04554,   55.39146, -125.81434]), array([ 90.04554, -55.39146, 125.81434])]",,"[-2204.3931518438912, 2073.726560634017, 7715.250228063145, 5.983078180687956, 2.1308138048761616, 2.1772647735774235, 7.853468491430636, 6.827607723616252, 7.379600967684651, 2.77614809439169, 1.6569846877141536, 3.3390062756290035, 79842.21198840419, 146693.17114163516, -396430.5444206183]"
733,0,0,,"[-1288.3244582613079, 6732.730643423129, 4906.282486233118, 0.8623645329560274, 1.1249203619362234, 4.005454710748639, 9.174633560497092, -2.448754450714059, 3.2812314313618263, -11.53468293529702, -6.3020813043703825, -10.543793597544095, 130039.71483921341, -1203.387747990113, -119012.02219304186]"
734,0,0,,"[7643.750680698762, 293.8045077408624, 4889.310185660321, 3.3144466036252798, 4.19160602657684, 3.2835486163535954, -2.978702053973027, 6.767217206021611, -1.7345558950931963, -1.692239081834586, -6.5833869091120265, -5.019931701885604, 51903.95331244101, -94958.31697571796, -292899.4979041838]"
735,0,0,,"[-8053.047764653203, -209.93581227737377, 794.6289938634745, 3.2438645972314806, 1.0915023087890334, 1.3956691690423066, 12.539802029513705, 3.7336130306893267, 0.8522083585222049, 0.6036617554965726, -7.696983936124991, 6.464896907916252, -141020.8394804023, -109074.96098409218, -291864.16460727673]"
736,0,0,,"[7961.178331647854, 7558.037075771601, -1370.5756191716919, 2.1778205457648827, 0.4899170970520955, 1.859663872158174, 9.801115557041243, -4.741434219611202, 6.170332238306688, -12.177037544511444, 1.6890133679403654, -8.407813672267036, 62716.61980249974, 120375.93762189255, -220759.03765466815]"
737,0,0,,"[-8939.089156404627, -5179.474639827675, -2338.378583052834, 2.2771034178371155, 1.2693359210314155, 3.1717881341800798, 2.304816368674798, 10.521191346003238, 3.809508817013551, -9.486712978563798, -5.081785719338292, 0.9326454212094859, -59322.70411534814, 52860.003741027234, -399413.7848787141]"
738,0,0,,"[-9431.22708422074, 846.2536478345064, 929.3775420315887, 3.762686466049356, 0.4355465396983037, 0.7984951497397832, -5.675130247445793, -1.609641462906529, -6.306762276052968, 3.4966665239144525, 2.2264216029199435, -8.20354965477144, -69547.46147550162, -727.855476648896, -112076.39295116503]"
739,"[array([625212.88899179,  90811.67631855, 273994.95409006]), array([1632308.9044025 ,  474026.4983065 ,   46194.49016159]), array([1632308.9044025 ,  474026.4983065 ,   46194.49016159]), array([625212.88899179,  90811.67631855, 273994.95409006])]","[array([-112.31665,    8.43481,  -90.76446]), array([  -4.31932, -135.4114 , -133.31356]), array([  4.31932, 135.4114 , 133.31356]), array([112.31665,  -8.43481,  90.76446])]",,"[-8546.022204052042, -4836.485333497245, 6002.859598739458, 2.0727454870359425, 5.277330458577011, 5.981183285359012, 8.202933012142825, -6.842023897375104, 0.30285367503620897, 9.0139723595791, -3.7522850986889615, -4.980253003461488, 38436.64392469154, -22379.026632378867, -54670.297721867915]"
740,"[array([273573.07820864, 115290.93987659, 130992.44495141]), array([273573.07820864, 115290.93987659, 130992.44495141])]","[array([-92.89508,  98.74355,   5.91819]), array([ 92.89508, -98.74355,  -5.91819])]",,"[5611.271712526486, 5022.061337429559, 8196.807103666968, 1.1626254373991174, 1.0299703459495215, 4.069689350952258, -4.695726217284086, 3.171829957668404, 4.651374004538271, 6.059668078946693, 3.6551894908244194, 2.9171189731971836, 54662.15090943716, -45379.711858425726, -32441.377948327747]"
741,0,0,,"[-374.3897649599712, -8261.039296068204, -2065.192692101845, 2.8115602600826715, 3.8143256380720363, 0.21921606084094014, 4.499125641647179, -4.959116271214537, -2.3773263005665983, 11.91836649327782, 6.470544365288529, -4.724766950877081, 112298.25058634905, -75863.15108453331, -199154.41475559547]"
742,0,0,,"[6161.083346287249, 20.660822388301312, -8828.171973382116, 0.7834206969563144, 1.8597358941394613, 0.8368499284683344, -5.232080016125673, 1.8064074966121915, 12.035037459232448, 4.750072752235376, -6.681258174959731, 1.7542175613258753, 145873.79397006636, 137419.35819465906, -312585.2591495281]"
743,0,0,,"[1016.7533788606033, -7090.853159012556, -6613.521568971446, 5.623938113533246, 2.885820174832534, 0.7373105182636759, 6.603781675675787, -1.3126537945021033, 9.173346083263958, -0.6134445913982436, -11.101251844131422, -11.122912196627043, -67501.50235799984, -60671.74112659601, -26435.187550507428]"
744,0,0,,"[-5660.276395884165, -1969.16469759943, -7824.245106548395, 0.570015272669077, 1.161556109157189, 1.8622531230547719, 1.5884659164989365, -5.112759130282976, 8.744773809387368, 11.458801802895284, -3.514116446549078, 7.904779334509755, 14465.074115687195, 91901.59346188625, -51295.99926732009]"
745,0,0,,"[4754.567977882602, 936.5927286057104, 6802.096403570282, 3.529144737403745, 2.119264683284093, 5.424797135066135, -7.11385581883705, -6.703648326498479, 3.6516193406732853, 2.0927990516201014, -9.78343107311047, -11.446420150418573, -100883.89119426173, -33324.183417353925, -155768.51292582662]"
746,"[array([ 163525.12013932, 1477676.03929513,  937238.47787211])]","[array([ -56.3262 , -131.2582 , -169.34002])]",,"[-172.1028649824857, 2564.7274476254624, 3597.1179480323353, 3.088559208868152, 3.485992948896311, 1.8714877261284288, 2.9263144078894197, 8.086530068099705, 7.133063618728251, 12.050539260913968, -11.207703476611826, 5.168499001711282, -101518.00975016347, -83379.15074098397, -340789.1960369375]"
747,0,0,,"[472.1109463442699, -1461.8316689424864, -6153.7674818806345, 4.077103935063158, 4.63898960375393, 4.684833575315184, -8.314437555203723, 8.803522401559853, -2.9301089904024797, -7.935023773685999, -5.8520767018876265, -8.567066705535632, 109435.77977164983, -141856.34880152112, -124644.39707408182]"
748,0,0,,"[-9695.298256057127, -6627.910872757118, 7778.7447752814005, 3.968276633792819, 1.0935012407943363, 2.2689403606403147, 0.3242735189018777, 12.382784534365737, 4.983428648751248, 9.806836810951037, -6.513701190287289, -12.095996882017586, 63039.651347659994, -122178.24616920244, -107203.84764679009]"
749,0,0,,"[-7664.409850877271, 4602.938316677239, 4202.3254044752775, 4.9376642340673325, 1.1060837852254042, 5.277992501450962, 12.455359363561104, 12.457860208966903, -4.216449419818008, -1.5906533187320306, 6.269515287060262, -9.587134462807738, -67691.34002937756, 106953.04050161876, -386205.5017936314]"
750,"[array([1199749.96208553,  333129.95006599,  388510.06819393])]","[array([-123.48152,   -3.43725, -136.5659 ])]",,"[-2680.3619788506603, 8546.42689892621, -7770.916173151445, 5.384674655306533, 5.150867837425847, 3.43953826164377, -11.580786156914703, 9.362227566749567, 1.078449245143739, 7.447236869341893, 4.860894210353571, -4.6610926666589885, -12669.973108918086, 1699.8460465099197, -180558.91244672594]"
751,"[array([ 68538.51716048, 320092.3685479 , 243532.05796008]), array([ 68538.51716048, 320092.3685479 , 243532.05796008])]","[array([-49.14219,  55.62754, -77.89054]), array([ 49.14219, -55.62754,  77.89054])]",,"[-5423.012840841677, 8359.16446862965, -3668.520706877168, 3.0117112624240825, 5.2751271553753805, 3.3115912284620954, 6.669173022155075, 4.441032164193977, -0.2915865726439755, -6.555133369920457, 1.2733610729088642, 0.32014067321471273, -51562.68192018315, 117135.79165193829, -62686.50918371731]"
752,0,0,,"[-9931.92489646436, 7021.027932508729, 6260.614343792942, 4.124855440194696, 4.132522379597455, 5.5899894241737735, -9.868922124159416, 10.432869239604443, -4.747241216609351, -4.223042743782495, -9.110350566103659, -2.6274910303852668, 10455.592077196838, -113844.59873851528, -353551.8762703496]"
753,"[array([325169.60471492,  79649.18520673, 148998.39871369]), array([325169.60471492,  79649.18520673, 148998.39871369])]","[array([-66.9404 ,  38.15239, -54.12404]), array([ 66.9404 , -38.15239,  54.12404])]",,"[-3313.5387688354513, -7425.9342160428605, 614.5664638724666, 4.467306849983701, 0.27364069682166303, 3.1234525655578893, 10.307160885455172, -0.26600954665415344, 8.212293304560141, 3.75318784237405, -8.355967097299141, -2.31214850308109, 132279.00705897086, -98793.18065624216, -107363.89985343924]"
754,0,0,,"[-3843.0821086208234, -2747.5615509926656, 6253.0133349495245, 4.0074951841969355, 5.487855356653761, 5.413318662265924, -1.7194085494782705, 1.3554217842206722, 1.1532463708642187, 9.315303879057076, -1.3886830883934476, -11.774324398194373, -127308.37170896522, 62989.81587587492, -121939.38442686433]"
755,"[array([3639087.48761987,  229661.81415322,  892275.22962961]), array([ 70237.04864356, 532821.55444836, 594912.98313945]), array([ 70237.04864356, 532821.55444836, 594912.98313945]), array([3639087.48761987,  229661.81415322,  892275.22962961])]","[array([-199.80909,  140.98318, -199.25998]), array([ -83.34106, -102.87941,   88.81666]), array([ 83.34106, 102.87941, -88.81666]), array([ 199.80909, -140.98318,  199.25998])]",,"[2132.2747062225153, 6104.386921542466, -8499.758850967155, 5.951012246415685, 4.097624405488758, 5.79416311643725, 1.7262612426258954, 8.443506292794165, 2.5041862210194665, -4.358136587147021, -7.9829082264909585, -12.354028668125144, -27725.848014859817, 126857.25947549962, -79070.28716532385]"
756,0,0,,"[-2623.157766252036, -4271.511930639957, 7939.687306605159, 3.850857973255776, 3.598926380303151, 0.7795933571822773, -3.440748908666766, 6.06155492554721, 9.952004573558224, 9.736671260453804, -12.070762795430932, 5.462561414514067, -92076.18585616321, 94857.08074806209, -283052.20872416993]"
757,"[array([488047.80147397, 227811.10379511, 350028.46030017])]","[array([-83.70771, -10.71163, -71.5413 ])]",,"[-5157.874412801811, 1098.2676514193463, -9595.187501739125, 3.566620883033906, 3.330121232454945, 5.922970585771631, 11.932543745677599, -0.330838768631712, 6.748256065684675, 7.949884904886485, 7.05404329102144, -6.056985049108274, -65665.31360467359, 24909.641193016258, -132821.31506380357]"
758,"[array([ 36922.34563182, 335174.4733258 , 292276.7396265 ]), array([ 36922.34563182, 335174.4733258 , 292276.7396265 ])]","[array([ -4.64088,  66.69001, -75.63339]), array([  4.64088, -66.69001,  75.63339])]",,"[-8802.85732128489, -5267.21230562641, 9521.04295103357, 3.0961756842310977, 1.9797652084207205, 2.9177621777588656, -6.158957592297839, 8.169552047720568, 3.8774367178632563, 12.0376862936163, 1.1248903014791054, 5.437168737886328, -107995.37005489403, 140956.61889057024, -106069.5597359445]"
759,0,0,,"[-7344.5977949208045, -5392.558825518139, 3898.908796748128, 1.0783545432511816, 5.498605532985505, 4.779074014849215, -10.266710815065444, 3.927034491582157, -5.285729090806436, -0.16116569519111046, -9.4395155386813, 5.046760460372912, -120067.10236687872, -34650.033633280415, -284752.1278939681]"
760,"[array([438131.88130144, 317778.09470601, 135734.66758039])]","[array([-83.63474, -14.09165, -71.01488])]",,"[-4500.809124522873, -5452.806113474658, -255.14455247295518, 3.013170621211229, 3.390325467882499, 5.804854770578906, 8.767707776506892, -7.12734385038393, 11.71659488236498, 11.500099366149431, -9.173271435783994, -5.974909074941895, -74183.34798807869, 61029.50844780702, -172851.461108651]"
761,0,0,,"[9566.852050553818, 56.51774763663343, -7725.904589762564, 0.9943833493290627, 4.813624598697151, 1.6026599024066526, -9.619595517216226, 2.542439090336938, 2.630583545018961, 8.055898953741547, -12.084819690714374, -0.3590921980462962, 24905.159706153616, -64962.57170064222, -377041.6304707712]"
762,"[array([802637.92858427, 306554.29904932, 447323.25353193])]","[array([-104.71324,  -57.22144, -106.02712])]",,"[-2997.973853176605, -488.7753879754018, 637.4406375872968, 1.2583001133652552, 3.6047132375315063, 1.7572823267567568, -3.0065488433511636, 0.9720944623743399, 8.22380626134159, 10.664008149164513, 6.393907129335172, 4.714594145249659, -87982.31712810902, -119121.82511170243, -349763.053547733]"
763,0,0,,"[5219.597328531767, 8819.962503968884, 5858.453206036958, 2.4366275021449453, 0.6218295824678182, 4.212275672860251, -5.806833315827524, 4.042958948855613, 2.0395720905361117, -2.6323282035316886, -5.548305407722758, 3.9847996913990578, 98299.15941325686, -23814.681582742312, -29879.362459225755]"
764,0,0,,"[5678.197918989945, 5809.313650289616, 5407.484325864729, 5.40802819490951, 1.2476818000195926, 4.27370905881068, -1.321729249298354, -6.069424452185709, 3.3282507785109274, -7.942932703985911, -8.688252171835892, -11.296116730375976, 126430.66979382263, 68679.39476353582, -292494.54316473496]"
765,0,0,,"[-9720.77134237246, -1997.4190288565133, 896.6718790686373, 1.6538378230041133, 0.8596070527141147, 4.859456869492818, 6.336312496195781, 4.3413762089672225, 7.777636233088909, -11.429908136850464, -12.12301934982284, 1.9549365669005443, -49626.203694964206, 34558.13214146838, -228416.06423171406]"
